Vivado Simulator 2016.2
Time resolution is 1 ps
i=xxxx, x=xxxxxxxxxxxxxxxx, y=xxxxxxxxxxxxxxxx, z=xxxxxxxxxxxxxxxx
i=1000, x=0000000000000001, y=0000000000000001, z=0000000000000000
i=1000, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=1001, x=0010110101100111, y=0010110100011100, z=0000000000110110
i=1001, x=0001011010110011, y=0001011010001110, z=0000000000011011
i=1001, x=0000101101011001, y=0000101101000111, z=0000000000001101
i=1001, x=0000010110101100, y=0000010110100011, z=0000000000000110
i=1001, x=0000001011010110, y=0000001011010001, z=0000000000000011
i=1001, x=0000000101101011, y=0000000101101000, z=0000000000000001
i=1001, x=0000000010110101, y=0000000010110100, z=0000000000000000
i=1001, x=0000000001011010, y=0000000001011010, z=0000000000000000
i=1001, x=0000000000101101, y=0000000000101101, z=0000000000000000
i=1001, x=0000000000010110, y=0000000000010110, z=0000000000000000
i=1001, x=0000000000001011, y=0000000000001011, z=0000000000000000
i=1001, x=0000000000000101, y=0000000000000101, z=0000000000000000
i=1001, x=0000000000000010, y=0000000000000010, z=0000000000000000
i=1001, x=0000000000000001, y=0000000000000001, z=0000000000000000
i=1001, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=1010, x=0010110101010001, y=0010110100110010, z=0000000000010110
i=1010, x=0001011010101000, y=0001011010011001, z=0000000000001011
i=1010, x=0000101101010100, y=0000101101001100, z=0000000000000101
i=1010, x=0000010110101010, y=0000010110100110, z=0000000000000010
i=1010, x=0000001011010101, y=0000001011010011, z=0000000000000001
i=1010, x=0000000101101010, y=0000000101101001, z=0000000000000000
i=1010, x=0000000010110101, y=0000000010110100, z=0000000000000000
i=1010, x=0000000001011010, y=0000000001011010, z=0000000000000000
i=1010, x=0000000000101101, y=0000000000101101, z=0000000000000000
i=1010, x=0000000000010110, y=0000000000010110, z=0000000000000000
i=1010, x=0000000000001011, y=0000000000001011, z=0000000000000000
i=1010, x=0000000000000101, y=0000000000000101, z=0000000000000000
i=1010, x=0000000000000010, y=0000000000000010, z=0000000000000000
i=1010, x=0000000000000001, y=0000000000000001, z=0000000000000000
i=1010, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=1011, x=0010110101000110, y=0010110100111101, z=0000000000000110
i=1011, x=0001011010100011, y=0001011010011110, z=0000000000000011
i=1011, x=0000101101010001, y=0000101101001111, z=0000000000000001
i=1011, x=0000010110101000, y=0000010110100111, z=0000000000000000
i=1011, x=0000001011010100, y=0000001011010011, z=0000000000000000
